token,network,pool_address,dex_id,pool_name,reserve_usd,volume_h24,tx_buys,tx_sells,tx_buyers,tx_sellers,price_change_h24,rank
WIF,solana,AishPhdJXUHpo3zg2gt5AVfdUg3MPmf8DV8FButvbRJ6,orca,POPCAT / $WIF,5950.6859,2263.9687444079,299,221,117,100,3.52,5
WIF,solana,Dxsg2Aq9GSQEHHFJFgZrgwD614uxJn4wusq1dDmUUvXS,orca,Fartcoin / $WIF,12495.7554,735.3190332957,131,135,60,62,4.55,6
WIF,solana,6qgyDW4fHvpTAmfNZvPAuETEbVwRKFVAuuHfNzvEmPkY,orca,$WIF / SOL,17131.0302,165.5901825449,42,9,23,6,4.07,7
WIF,solana,CN8M75cH57DuZNzW5wSUpTXtMrSfXBFScJoQxVCgAXes,orca,$WIF / USDC,9178.9269,298.1616348902,265,207,159,122,4.21,8
WIF,solana,D5MzuR2BVKhhLe5S2LiWHeLUv4QVr1mc2MC2PWdHZWtU,raydium,$WIF / SOL,799.4629,2494.6117383258,63,83,27,33,-9.75,9
WIF,solana,A6cVoMU1Z7oRi9R774QarVxHUmHPQkxQfYVFGNQuAx2b,orca,$WIF / SOL,4224.9855,437.6943601033,124,54,52,36,4.01,10
WIF,solana,56Ekyu6uBpTna3LR2qkjHjNbDNkCLWK2Lt3uWh7J2R8Z,orca,Bonk / $WIF,3455.52,297.4767219503,414,219,256,160,4.53,11
WIF,solana,6SaMkkU1keE64sGWERDsJ84TZLqVCw2J22rzc7n21yzB,orca,DFN / $WIF,1429.3303,489.0292633388,57,29,12,16,4.24,12
WIF,solana,4mMDQ5kG9fFrBSQeedErsUoTBhY5KKnsKWGvenXRTwSy,raydium-clmm,$WIF / SOL 1%,5583.9057,105.4917869108,28,8,22,8,3.94,13
WIF,solana,FiPv5JSMvzYHWVtShPcUj9C9oAN4BFrBy1yFzHo2f1M,orca,Coinomi / $WIF,4422.3332,51.0479470544,7,20,6,11,3.7,14
WIF,solana,FSYNx6cdFajxDJswDg38bJ2tU3AMZ4eo64LRhSouuCj3,raydium,$WIF / SOL,139.2601,1535.2865796506,30,60,11,24,-4.71,15
WIF,solana,8WBdqT2pE3P6yDVCFTxknQL3wLRj8g8ZWoNZiXHBUHBL,meteora,$WIF / SOL,2029.6284,98.6587090225,34,42,23,28,1.92,16
WIF,solana,49RnewoSCJUHnQXfWTh1AjBdgR76mPZy6aCSg6hTM7BQ,raydium,$WIF / SOL,99.3845,1423.9951216292,27,46,13,24,-41.62,17
WIF,solana,58oVxJHmvQoxL2GTCP9JrAYQt3PLJ8ApQwkZcjgmmSco,meteora,$WIF / USDC,3543.4079,32.4528352133,60,25,41,21,3.4,18
WIF,solana,3gpyRVcdbH6Jy1AR5Xz5hypNGyGWECLXM5eaA79z4GdQ,orca,Bonk / $WIF,2082.2169,49.6025247195,357,183,200,125,3.61,19
WIF,solana,BWB9XA6Gic4iAsaQjX8ssszHLBX8CGurVm4sGWZa2nwb,orca,SC / $WIF,3145.2286,16.4214979113,1,14,1,8,3.54,20
BONK,solana,6oFWm7KPLfxnwMb3z5xwBoXNSPP3JJyirAPqPSiVcnsp,meteora,Bonk / SOL,439146.2749,837806.621091445,3705,3671,912,1306,1.49,1
BONK,solana,31p1hptjhFo6ZD8oBqkfutNXQKGGPyi7YcEAfsyKW777,meteora,Bonk / USDC,290410.193,440109.489142415,568,634,80,98,1.18,2
BONK,solana,5zpyutJu9ee6jFymDGoK7F6S5Kczqtc9FomP3ueKuyA9,orca,Bonk / SOL,171703.703,73786.4133909156,3063,3360,829,1186,1.65,3
BONK,solana,3UwfrdLTpAjxTRni1boc5HUWe6hzc4HgE5yLdvEp2Noc,raydium-clmm,Bonk / USDC,180654.3826,47050.8202778982,847,621,129,172,2.09,4
BONK,solana,3ne4mWqdYuNiYrYZC9TrA3FcfuFdErghH97vNPbjicr1,orca,Bonk / SOL,893022.2457,2212.8797963768,78,147,47,91,1.69,5
BONK,solana,HmQL6eECoaGLWvTxz6cWT3jEsPfjdin2vNVJ1xKiwjXz,saros-amm,Bonk / SAROS,35615.3955,9740.8448703358,377,424,55,85,7.26,6
BONK,solana,GtKKKs3yaPdHbQd2aZS4SfWhy8zQ988BJGnKNndLxYsN,raydium-clmm,Bonk / SOL 0.25%,37225.2298,7671.7951327419,172,169,134,112,0.96,7
BONK,solana,4UcZrPsyYVaY4Rt4ebCPwEyxn1VAhw5nXhF3e3PGCB4v,meteora,Bonk / JUP,87294.5401,1888.2595004532,37,11,25,9,1.54,8
BONK,solana,G7mw1d83ismcQJKkzt62Ug4noXCjVhu3eV7U5EMgge6Z,raydium,Bonk / USDC,32229.9737,1207.569805302,784,403,116,175,2.26,9
BONK,solana,8QaXeHBrShJTdtN1rWCccBxpSVvKksQ2PCu5nufb2zbk,orca,Bonk / USDC,56804.7941,634.8044912967,125,150,60,98,1.28,10
BONK,solana,sx7pZ2sFmZpwCZaatYojNKUfTdpb5EjwEAgNEH8KGz3,meteora,Bonk / SOL,8002.1499,2915.5710297184,371,323,243,226,1.32,11
BONK,solana,278P6iwdEeX5tUFMGxmi2tii3EAho4iHzfiroKLKCQKj,meteora,Bonk / SOL,33596.7181,606.4649902483,189,213,154,161,0.97,12
BONK,solana,7eexH14UjhNxJe6zTT3f1Vb1E8iACsBMVaWheDEmxdT2,meteora,Bonk / SOL,18144.9392,802.0483027347,140,138,103,94,1.43,13
BONK,solana,HVNwzt7Pxfu76KHCMQPTLuTCLTm6WnQ1esLv4eizseSv,raydium,Bonk / SOL,22602.3797,355.9736489164,194,408,146,232,1.32,14
BONK,solana,BqnpCdDLPV2pFdAaLnVidmn3G93RP2p5oRdGEY2sJGez,orca,Bonk / SOL,157491.3314,37.9186567291,2,3,2,3,0.93,15
BONK,solana,N4xy6PT672fPyA969nQy7jTQ17AsMZ1jrbgm8ZvRKYK,meteora,Bonk / USDC,12192.1211,476.5628097944,242,195,132,112,1.63,16
BONK,solana,AtcGozT6i1GR3wJAjVwRwmt7qbHqZrBUqKs2DcMAKoVe,meteora,Bonk / SOL,7758.9198,664.5993604101,58,50,46,39,2.16,17
BONK,solana,DTPk5qoWmAsDnoRtRejaj7p5ZHUf7JP4JdvXNwTbdP2B,raydium,Bonk / SOL,1509.0458,1461.7349319545,49,149,28,52,2.14,18
BONK,solana,2wYurg8utK9qqUGJQmCRjtmYxMZYgibHf7pi7XhpH7HM,meteora,Bonk / DITH,6463.618,161.0561619608,9,5,5,4,3.46,19
BONK,solana,56Ekyu6uBpTna3LR2qkjHjNbDNkCLWK2Lt3uWh7J2R8Z,orca,Bonk / $WIF,3455.52,297.4767219503,219,414,160,256,1.42,20
FLOKI,eth,0xca7c2771d248dcbe09eabe0ce57a62e18da178c0,uniswap_v2,FLOKI / WETH,8247696.8273,49483.3327247665,21,64,15,21,1.71,1
FLOKI,eth,0x4e5cbb6e2aca942252e8cda2ba911ced2bd99b07,uniswap_v2,SKOL / FLOKI,10053.0122,174.3969567996,3,7,3,4,1.61,2
FLOKI,eth,0xe41552e6212cb6f7faa381c7bc9434c58bf28ce1,uniswap_v3,FLOKI / WETH 1%,532.9406,1.3993923953,0,1,0,1,0,3
FLOKI,eth,0xdb88a83edddb228a854f502d85a79f94dad0bbf6,uniswap_v2,FLOKI0.5 / FLOKI,8352.719401647271,0,0,0,0,0,0,4
FLOKI,eth,0x7df2449f29a221533e403ccc652b253ba7d191de,radioshack_ethereum,BUILD / FLOKI,7993.0779,0,0,0,0,0,0,5
FLOKI,eth,0xe2a90f337fa4403c6efcba3c3ca30a32a2c2158f,uniswap_v2,TEO / FLOKI,4403.5801965288,0,0,0,0,0,0,6
FLOKI,eth,0x619944b922ddf2562ccd8ee4b00bc0f3ddbf565c,uniswap_v3,FLOKI / ZIK 1%,1265.8948,0,0,0,0,0,0,7
FLOKI,eth,0xeebd7c7c45db2b3c4f006de072578922a743c503,uniswap_v2,FLOKI0.5 / FLOKI,260.7398,0,0,0,0,0,0,8
FLOKI,eth,0xe070d94dc761f595a7501671cc984d6275d00d39,uniswap_v2,DFI / FLOKI,153.07970247032534,0,0,0,0,0,0,9
FLOKI,eth,0x9827d04891257a1bd5100e30b6e393f6fe77b6c9,uniswap_v2,FLOKI / FENRIR,114.18,0,0,0,0,0,0,10
FLOKI,eth,0x92ee15a76c0ee3c414930c30eabdcc24b4f7210d,uniswap_v2,FLOKIFI / FLOKI,74.9401,0,0,0,0,0,0,11
FLOKI,eth,0x429d54c8b7d0624ccde712b985c766b1fdda555d,uniswap_v2,Floki 0.5 / FLOKI,57.2191,0,0,0,0,0,0,12
FLOKI,eth,0xb0e321e1d7fee5d0d1d0106d223709e27e916cfc,uniswap_v2,BabyDoge / FLOKI,30.7094257762,0,0,0,0,0,0,13
FLOKI,eth,0x2f01dfb9a4d758d0edea7599ae384eb06adb76dc,pancakeswap-v3-ethereum,FLOKI / WETH 1%,29.0024703957,0,0,0,0,0,0,14
FLOKI,eth,0x9c7c1f0d7ba90817f9e8b18caa83bbbb0dda0c51,9inch-ethereum,BBC / FLOKI,15.2316859348,0,0,0,0,0,0,15
FLOKI,eth,0xb190aa44623fbc739a923dc8a8d0f372d6521044,uniswap_v2,PEPE / FLOKI,11.2427541336,0,0,0,0,0,0,16
FLOKI,eth,0x653890cc3388ea94e6b3bc693bb03ec810249c32,uniswap_v2,SIMP / FLOKI,6.8457844283,0,0,0,0,0,0,17
FLOKI,eth,0x3cd87a1cc1f057df995f65e88ee921ae49b564ba,radioshack_ethereum,RADIO / FLOKI,3.8407652046,0,0,0,0,0,0,18
FLOKI,eth,0x972549d634455966496c98d0cdc203911bc082f3,uniswap_v3,FLOKI / USDC 0.05%,4.8374,0,0,0,0,0,0,19
FLOKI,eth,0xf06b2b0e86745c1b1f00c80b7919468faae004a1,uniswap_v3,FLOKI / USDT 0.3%,1.2260741888,0,0,0,0,0,0,20
